DateTime,vuser,Tests,Errors,Mean_Test_Time_(ms),Test_Time_Standard_Deviation_(ms),TPS,Mean_response_length,Response_bytes_per_second,Response_errors,Mean_time_to_resolve_host,Mean_time_to_establish_connection,Mean_time_to_first_byte
2021-04-12 08:15:08,30,476,0,90.511,82.776,238,115,27370,0,0.399,0.628,88.303
2021-04-12 08:15:10,30,756,0,86.642,99.467,378,115,43470,0,0.078,0.294,86.38
2021-04-12 08:15:12,30,907,0,64.251,42.494,453.5,115,52152.5,0,0.077,0.244,64.023
2021-04-12 08:15:14,30,1065,0,58.194,4.753,532.5,115,61237.5,0,0.015,0.193,58.021
2021-04-12 08:15:16,30,1005,0,59.542,9.218,502.5,115,57787.5,0,0.054,0.201,59.379
2021-04-12 08:15:18,30,1026,0,58.159,5.294,513,115,58995,0,0.011,0.159,58.011
2021-04-12 08:15:20,30,1060,0,56.516,4.493,530,115,60950,0,0.036,0.158,56.375
2021-04-12 08:15:22,30,1042,0,57.197,5.372,521,115,59915,0,0.029,0.168,57.05
2021-04-12 08:15:24,30,1034,0,57.726,3.642,517,115,59455,0,0.035,0.184,57.583
2021-04-12 08:15:26,30,846,0,69.892,17.257,423,115,48645,0,0.028,0.178,69.757
2021-04-12 08:15:28,30,740,0,81.249,28.951,370,115,42550,0,0.116,0.249,81.12
2021-04-12 08:15:30,30,1035,0,57.811,4.756,517.5,115,59512.5,0,0.01,0.158,57.696
2021-04-12 08:15:32,30,944,0,62.586,12.311,472,115,54280,0,0.046,0.172,62.456
2021-04-12 08:15:34,30,1021,0,59.411,9.539,510.5,115,58707.5,0,0.003,0.14,59.286
2021-04-12 08:15:36,30,1054,0,56.379,3.844,527,115,60605,0,0.046,0.187,56.28
2021-04-12 08:15:38,30,742,0,80.581,29.623,371,115,42665,0,0.007,0.124,80.482
2021-04-12 08:15:40,30,761,0,78.46,7.9,380.5,115,43757.5,0,0.028,0.142,78.35
2021-04-12 08:15:42,30,749,0,79.66,7.412,374.5,115,43067.5,0,0.015,0.123,79.511
2021-04-12 08:15:44,30,732,0,81.984,7.54,366,115,42090,0,0.005,0.137,81.869
