DateTime,vuser,Tests,Errors,Mean_Test_Time_(ms),Test_Time_Standard_Deviation_(ms),TPS,Mean_response_length,Response_bytes_per_second,Response_errors,Mean_time_to_resolve_host,Mean_time_to_establish_connection,Mean_time_to_first_byte
2021-04-12 07:52:25,30,294,0,132.626,96.748,147,114,16758,0,1.109,1.85,129.259
2021-04-12 07:52:27,30,102,0,713.608,1004.264,51,114,5814,0,0.667,0.882,713.088
2021-04-12 07:52:29,30,946,0,78.316,181.162,473,114,53922,0,1.585,1.778,77.902
2021-04-12 07:52:31,30,704,0,85.067,123.645,352,114,40128,0,0.092,0.277,84.703
2021-04-12 07:52:33,30,924,0,64.681,39.837,462,114,52668,0,0.008,0.194,64.374
2021-04-12 07:52:35,30,1023,0,58.449,33.618,511.5,114,58311,0,0.042,0.196,58.216
2021-04-12 07:52:37,30,982,0,60.26,38.096,491,114,55974,0,0.002,0.122,60.035
2021-04-12 07:52:39,30,1019,0,58.941,28.663,509.5,114,58083,0,0.063,0.227,58.706
2021-04-12 07:52:41,30,900,0,65.062,40.496,450,114,51300,0,0.003,0.144,64.859
2021-04-12 07:52:43,30,607,0,99.853,113.416,303.5,114,34599,0,0.043,0.143,99.685
2021-04-12 07:52:45,30,879,0,68.445,49.197,439.5,114,50103,0,0.03,0.164,68.253
2021-04-12 07:52:47,30,981,0,61.212,32.919,490.5,114,55917,0,0.019,0.158,61.022
2021-04-12 07:52:49,30,935,0,63.881,42.838,467.5,114,53295,0,0.033,0.142,63.683
2021-04-12 07:52:51,30,969,0,61.725,34.447,484.5,114,55233,0,0.032,0.156,61.529
2021-04-12 07:52:53,30,927,0,64.785,41.67,463.5,114,52839,0,0.024,0.15,64.569
2021-04-12 07:52:55,30,1078,0,55.26,29.396,539,114,61446,0,0.024,0.155,55.091
