DateTime,vuser,Tests,Errors,Mean_Test_Time_(ms),Test_Time_Standard_Deviation_(ms),TPS,Mean_response_length,Response_bytes_per_second,Response_errors,Mean_time_to_resolve_host,Mean_time_to_establish_connection,Mean_time_to_first_byte
2021-04-12 09:43:42,30,1013,0,57.606,12.208,506.5,1170,592605,0,0.324,0.575,56.667
2021-04-12 09:43:44,30,1146,0,51.697,5.555,573,1170,670410,0,0.098,0.289,51.365
2021-04-12 09:43:46,30,1162,0,51.214,4.868,581,1170,679770,0,0.045,0.25,50.904
2021-04-12 09:43:48,30,1153,0,51.791,6.168,576.5,1170,674505,0,0.011,0.196,51.539
2021-04-12 09:43:50,30,1167,0,51.045,8.956,583.5,1170,682695,0,0.055,0.221,50.817
2021-04-12 09:43:52,30,1278,0,46.705,3.143,639,1170,747630,0,0.001,0.14,46.482
2021-04-12 09:43:54,30,1276,0,46.897,4.476,638,1170,746460,0,0.057,0.194,46.667
2021-04-12 09:43:56,30,1294,0,46.124,3.455,647,1170,756990,0,0.031,0.173,45.906
2021-04-12 09:43:58,30,1215,0,48.965,5.586,607.5,1170,710775,0,0.017,0.185,48.768
2021-04-12 09:44:00,30,1252,0,47.605,4.549,626,1170,732420,0,0.024,0.152,47.403
2021-04-12 09:44:02,30,1300,0,46.071,3.837,650,1170,760500,0,0.008,0.177,45.869
2021-04-12 09:44:04,30,1136,0,52.15,8.614,568,1170,664560,0,0.047,0.175,51.945
2021-04-12 09:44:06,30,919,0,65.456,5.775,459.5,1170,537615,0,0.003,0.144,65.294
2021-04-12 09:44:08,30,872,0,67.812,8.211,436,1170,510120,0,0.076,0.186,67.647
2021-04-12 09:44:10,30,747,0,80.639,18.773,373.5,1170,436995,0,0.008,0.149,80.462
2021-04-12 09:44:12,30,883,0,67.823,5.844,441.5,1170,516555,0,0.067,0.199,67.715
2021-04-12 09:44:14,30,911,0,65.899,4.66,455.5,1170,532935,0,0.007,0.122,65.759
2021-04-12 09:44:16,30,894,0,66.928,4.962,447,1170,522990,0,0.027,0.149,66.757
2021-04-12 09:44:18,30,900,0,66.604,4.871,450,1170,526500,0,0.002,0.109,66.468
2021-04-12 09:44:20,30,881,0,67.959,4.889,440.5,1170,515385,0,0.041,0.153,67.807
