DateTime,vuser,Tests,Errors,Mean_Test_Time_(ms),Test_Time_Standard_Deviation_(ms),TPS,Mean_response_length,Response_bytes_per_second,Response_errors,Mean_time_to_resolve_host,Mean_time_to_establish_connection,Mean_time_to_first_byte
2021-04-12 08:40:08,30,235,0,194.319,209.648,117.5,115,13512.5,0,0.149,0.434,190.732
2021-04-12 08:40:10,30,524,0,113.561,163.392,262,115,30130,0,0.427,0.683,113.212
2021-04-12 08:40:12,30,441,0,135.497,267.27,220.5,115,25357.5,0,0.023,0.236,135.206
2021-04-12 08:40:14,30,868,0,68.589,17.918,434,115,49910,0,0.097,0.331,68.346
2021-04-12 08:40:16,30,944,0,63.432,5.69,472,115,54280,0,0.005,0.212,63.214
2021-04-12 08:40:18,30,931,0,63.976,7.72,465.5,115,53532.5,0,0.055,0.295,63.777
2021-04-12 08:40:20,30,989,0,60.418,5.624,494.5,115,56867.5,0,0.005,0.188,60.286
2021-04-12 08:40:22,30,820,0,72.662,62.68,410,115,47150,0,0.057,0.202,72.537
2021-04-12 08:40:24,30,991,0,60.182,3.759,495.5,115,56982.5,0,0,0.154,60.046
2021-04-12 08:40:26,30,1009,0,59.37,3.291,504.5,115,58017.5,0,0.064,0.216,59.244
2021-04-12 08:40:28,30,1007,0,59.17,3.139,503.5,115,57902.5,0,0.004,0.176,59.051
2021-04-12 08:40:30,30,467,0,110.214,188.982,233.5,115,26852.5,0,7.897,8.051,110.084
2021-04-12 08:40:32,30,295,0,253.624,296.575,147.5,115,16962.5,0,23.298,25.315,253.519
2021-04-12 08:40:34,30,838,0,71.246,27.886,419,115,48185,0,0.055,0.21,71.098
2021-04-12 08:40:36,30,1001,0,59.506,2.324,500.5,115,57557.5,0,0.011,0.165,59.393
2021-04-12 08:40:38,30,954,0,62.548,7.25,477,115,54855,0,0.051,0.225,62.415
2021-04-12 08:40:40,30,991,0,60.477,4.092,495.5,115,56982.5,0,0.005,0.17,60.359
